Store Name,Phone Number,Address,Store Url,Latitude,Longitude,City
Houston - Little York,(713) 691-8001,"10702 Easttex Fwy
Houston, TX 77093",https://locations.99only.com/tx/houston/discount-store-2843.html,-95.3273248,29.8680007,Houston
Houston - Chimney Rock,(713) 721-4998,"11320 Chimney Rock Rd
Houston, TX 77035",https://locations.99only.com/tx/houston/discount-store-2836.html,-95.4780269,29.657472,Houston
Houston - Westheimer/Hwy 6,(281) 497-9909,"14310 Westheimer Rd
Houston, TX 77077",https://locations.99only.com/tx/houston/discount-store-2835.html,-95.6411278,29.736546,Houston
Houston - Almeda Genoa,(713) 941-9099,"10220 Almeda Genoa Road
Houston, TX 77034",https://locations.99only.com/tx/houston/discount-store-2830.html,-95.2324589,29.6267414,Houston
Houston - Gessner,(713) 776-2999,"8700 S. Gessner, #100
Houston, TX 77074",https://locations.99only.com/tx/houston/discount-store-2816.html,-95.5296598,29.685835,Houston
Houston - Bissonnet,(832) 328-0099,"11873 Bissonnet St
Houston, TX 77099",https://locations.99only.com/tx/houston/discount-store-2814.html,-95.5860573,29.6741349,Houston
Houston - Bammel,(281) 260-9992,"13749 State Hwy 249
Houston, TX 77086",https://locations.99only.com/tx/houston/discount-store-2813.html,-95.4957244,29.9195,Houston
Houston - Wallisville,(281) 458-9199,"5809 E. Sam Houston Pkwy
Houston, TX 77049",https://locations.99only.com/tx/houston/discount-store-2810.html,-95.16641,29.81008,Houston
Houston - Jones,(281) 517-0492,"10787 Jones Rd
Houston, TX 77065",https://locations.99only.com/tx/houston/discount-store-2809.html,-95.5864676,29.9306017,Houston
Houston - Hwy 6/Keith,(281) 859-9599,"4980 N. Highway 6
Houston, TX 77084",https://locations.99only.com/tx/houston/discount-store-2804.html,-95.6445628,29.8497982,Houston
Houston - Westheimer,(832) 242-5099,"7639 Westheimer
Houston, TX 77063",https://locations.99only.com/tx/houston/discount-store-2802.html,-95.5039196,29.7363451,Houston
Humble - FM 1960,(281) 446-9901,"216 FM 1960
Humble, TX 77338",https://locations.99only.com/tx/humble/discount-store-2881.html,-95.2657502,30.0027296,Humble
Houston - Atascocita,(281) 812-9199,"7130 FM 1960
Humble, TX 77346",https://locations.99only.com/tx/humble/discount-store-2806.html,-95.1696928,29.9974294,Humble
Katy - Fry,(281) 599-0970,"3111 N. Fry Rd
Katy, TX 77449",https://locations.99only.com/tx/katy/discount-store-2877.html,-95.7210974,29.8168612,Katy
Katy - Mason,(281) 392-2989,"21961 Katy Fwy
Katy, TX 77450",https://locations.99only.com/tx/katy/discount-store-2803.html,-95.7531051,29.7816724,Katy
McAllen,(956) 664-9991,"2246 W. Nolana Ave
McAllen, TX 78504",https://locations.99only.com/tx/mcallen/discount-store-2878.html,-98.2386877,26.2418822,McAllen
Mesquite,(972) 681-1517,"3330 N. Galloway Ave
Mesquite, TX 75150",https://locations.99only.com/tx/mesquite/discount-store-2876.html,-96.6090008,32.8118397,Mesquite
Pasadena (TX),(281) 487-3399,"4100 Fairmont Pkwy
Pasadena, TX 77504",https://locations.99only.com/tx/pasadena/discount-store-2815.html,-95.1818248,29.6497639,Pasadena
Rosenberg,(832) 595-1999,"2516 Avenue H
Rosenberg, TX 77471",https://locations.99only.com/tx/rosenberg/discount-store-2817.html,-95.8005312,29.5576739,Rosenberg
San Antonio - Callaghan,(210) 431-9928,"4350 Callaghan Rd
San Antonio, TX 78228",https://locations.99only.com/tx/sanantonio/discount-store-2859.html,-98.6011286,29.467531,San Antonio
San Antonio - Dellcrest,(210) 337-3708,"1864 S. WW White Rd
San Antonio, TX 78220",https://locations.99only.com/tx/sanantonio/discount-store-2855.html,-98.4041595,29.3997877,San Antonio
San Antonio - Basse West,(210) 525-9499,"3025 West Ave
San Antonio, TX 78201",https://locations.99only.com/tx/sanantonio/discount-store-2849.html,-98.5268744,29.4880414,San Antonio
San Antonio - Walzem,(210) 637-1276,"5464 Walzem Rd, Suite 3
San Antonio, TX 78218",https://locations.99only.com/tx/sanantonio/discount-store-2848.html,-98.3833912,29.5086978,San Antonio
San Antonio - Thousand Oaks Drive,(210) 403-0006,"2942 Thousand Oaks Dr
San Antonio, TX 78247",https://locations.99only.com/tx/sanantonio/discount-store-2839.html,-98.4402716,29.5752471,San Antonio
Waco,(254) 399-6933,"5912 Bosque Blvd, Suite 323
Waco, TX 76710",https://locations.99only.com/tx/waco/discount-store-2880.html,-97.1961597,31.5297336,Waco
