Store Name,Phone Number,Address,Store Url,Latitude,Longitude,City
Phoenix - Central Avenue,(602) 276-6993,"6018 S. Central Ave
Phoenix, AZ 85042",https://locations.99only.com/az/phoenix/discount-store-282.html,-112.0747811,33.3916291,Phoenix
Phoenix - 51st Avenue,(623) 846-9919,"5010 W. Indian School Rd
Phoenix, AZ 85031",https://locations.99only.com/az/phoenix/discount-store-225.html,-112.1665875,33.4963304,Phoenix
Phoenix - 12th Street,(602) 997-5999,"7830 N. 12th St
Phoenix, AZ 85020",https://locations.99only.com/az/phoenix/discount-store-223.html,-112.0583493,33.5520185,Phoenix
Phoenix - Tatum,(602) 953-0999,"12805 N. Tatum Blvd
Phoenix, AZ 85032",https://locations.99only.com/az/phoenix/discount-store-203.html,-111.9765435,33.6021495,Phoenix
Phoenix - Thomas,(623) 691-9992,"7620 W. Thomas Rd
Phoenix, AZ 85033",https://locations.99only.com/az/phoenix/discount-store-182.html,-112.2217582,33.4816262,Phoenix
Phoenix - Bell,(602) 996-7999,"2315 E. Bell Rd
Phoenix, AZ 85022",https://locations.99only.com/az/phoenix/discount-store-166.html,-112.0322671,33.6390459,Phoenix
Phoenix - Peoria,(602) 863-9929,"3518 W. Peoria Ave
Phoenix, AZ 85029",https://locations.99only.com/az/phoenix/discount-store-131.html,-112.1354766,33.5833307,Phoenix
Phoenix - Indian School,(602) 279-3499,"1240 Indian School Rd
Phoenix, AZ 85014",https://locations.99only.com/az/phoenix/discount-store-116.html,-112.0549959,33.4950599,Phoenix
Sahuarita,(520) 648-0276,"750 W. Calle Arroyo Sur
Sahuarita, AZ 85614",https://locations.99only.com/az/sahuarita/discount-store-243.html,-110.9811204,31.913204,Sahuarita
Scottsdale - Indian Bend,(480) 362-9293,"8950 E. Talking Stick Way
Scottsdale, AZ 85250",https://locations.99only.com/az/scottsdale/discount-store-388.html,-111.8892201,33.5403989,Scottsdale
Scottsdale - Thomas,(480) 946-7999,"7919 E. Thomas Rd.
Scottsdale, AZ 85251",https://locations.99only.com/az/scottsdale/discount-store-164.html,-111.9096963,33.478899,Scottsdale
Surprise,(623) 974-5929,"12801 W. Bell Rd
Surprise, AZ 85374",https://locations.99only.com/az/surprise/discount-store-161.html,-112.3370272,33.6371458,Surprise
Tempe - Southern,(480) 894-5220,"790 E. Southern Ave
Tempe, AZ 85282",https://locations.99only.com/az/tempe/discount-store-133.html,-111.9286812,33.393727,Tempe
Tucson - Oracle,(520) 887-3509,"4144 N. Oracle Rd
Tucson, AZ 85705",https://locations.99only.com/az/tucson/discount-store-312.html,-110.977177,32.282403,Tucson
Tucson - Marana,(520) 579-1699,"4160 W. Ina Rd
Tucson, AZ 85741",https://locations.99only.com/az/tucson/discount-store-222.html,-111.0544265,32.3385163,Tucson
Tucson - Golf Links,(520) 296-8999,"7125 E. Golf Links Rd
Tucson, AZ 85730",https://locations.99only.com/az/tucson/discount-store-206.html,-110.8395525,32.1933855,Tucson
Tucson - Valencia,(520) 889-7999,"1675 W. Valencia Blvd
Tucson, AZ 85746",https://locations.99only.com/az/tucson/discount-store-205.html,-111.0006801,32.1322397,Tucson
Yuma - Fortuna,(928) 305-9999,"11274 S Fortuna Rd
Yuma, AZ 85367",https://locations.99only.com/az/yuma/discount-store-366.html,-114.4451353,32.6679493,Yuma
Yuma - 4th Avenue,(928) 376-0999,"1701 S. 4th Ave
Yuma, AZ 85364",https://locations.99only.com/az/yuma/discount-store-242.html,-114.6235581,32.696118,Yuma
